iter	Passed	Remaining
673	3110	1504
674	3114	1499
675	3119	1495
676	3124	1490
677	3128	1485
678	3133	1481
679	3137	1476
680	3142	1471
681	3146	1467
682	3150	1462
683	3155	1457
684	3160	1453
685	3165	1448
686	3169	1444
687	3173	1439
688	3178	1434
689	3183	1430
690	3187	1425
691	3192	1420
692	3196	1416
693	3201	1411
694	3206	1407
695	3210	1402
696	3215	1397
697	3220	1393
698	3226	1389
699	3231	1385
700	3236	1380
701	3241	1375
702	3245	1371
703	3250	1366
704	3255	1362
705	3260	1357
706	3264	1352
707	3268	1348
708	3273	1343
709	3277	1338
710	3282	1334
711	3286	1329
712	3290	1324
713	3294	1319
714	3299	1315
715	3304	1310
716	3308	1305
717	3313	1301
718	3317	1296
719	3321	1291
720	3326	1287
721	3331	1282
722	3335	1278
723	3340	1273
724	3344	1268
725	3349	1264
726	3353	1259
727	3358	1254
728	3362	1249
729	3366	1245
730	3370	1240
731	3376	1236
732	3381	1231
733	3388	1227
734	3393	1223
735	3397	1218
736	3402	1214
737	3406	1209
738	3411	1204
739	3416	1200
740	3420	1195
741	3424	1190
742	3429	1186
743	3433	1181
744	3438	1176
745	3442	1172
746	3446	1167
747	3450	1162
748	3455	1157
749	3459	1153
750	3464	1148
751	3468	1143
752	3473	1139
753	3477	1134
754	3482	1130
755	3487	1125
756	3491	1120
757	3495	1116
758	3500	1111
759	3505	1106
760	3510	1102
761	3514	1097
762	3519	1093
763	3524	1088
764	3528	1084
765	3533	1079
766	3539	1075
767	3544	1070
768	3548	1066
769	3553	1061
770	3557	1056
771	3562	1052
772	3566	1047
773	3570	1042
774	3575	1037
775	3579	1033
776	3584	1028
777	3588	1023
778	3592	1019
779	3597	1014
780	3602	1010
781	3606	1005
782	3611	1000
783	3615	996
784	3620	991
785	3624	986
786	3628	982
787	3632	977
788	3637	972
789	3641	968
790	3646	963
791	3653	959
792	3657	954
793	3662	950
794	3667	945
795	3671	940
796	3675	936
797	3680	931
798	3685	927
799	3689	922
800	3694	917
801	3698	913
802	3704	908
803	3708	903
804	3712	899
805	3716	894
806	3721	889
807	3726	885
808	3730	880
809	3734	876
810	3739	871
811	3743	866
812	3748	862
813	3752	857
814	3756	852
815	3760	848
816	3765	843
817	3769	838
818	3774	834
819	3778	829
820	3783	824
821	3787	820
822	3792	815
823	3796	810
824	3800	806
825	3805	801
826	3809	796
827	3814	792
828	3818	787
829	3823	783
830	3827	778
831	3832	773
832	3836	769
833	3840	764
834	3845	759
835	3849	755
836	3853	750
837	3858	745
838	3863	741
839	3867	736
840	3871	732
841	3876	727
842	3880	722
843	3884	718
844	3889	713
845	3894	708
