측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2019-04-01,23.0,12.4
2019-04-02,31.8,17.4
2019-04-03,38.2,22.8
2019-04-04,33.8,19.4
2019-04-05,73.0,23.2
2019-04-06,53.4,17.2
2019-04-07,32.6,15.6
2019-04-08,34.6,12.0
2019-04-09,22.6,8.4
2019-04-10,6.2,4.0
2019-04-11,24.6,15.6
2019-04-12,47.6,30.6
2019-04-13,43.0,29.4
2019-04-14,36.2,20.6
2019-04-15,46.6,15.8
2019-04-16,42.0,20.0
2019-04-17,38.2,19.4
2019-04-18,38.2,22.4
2019-04-19,38.8,20.2
2019-04-20,45.0,24.8
2019-04-21,32.4,24.0
2019-04-22,92.2,39.4
2019-04-23,92.8,43.0
2019-04-24,53.4,38.2
2019-04-25,34.8,15.6
2019-04-26,6.4,4.4
2019-04-27,15.8,10.2
2019-04-28,16.2,12.2
2019-04-29,23.0,15.8
2019-04-30,31.2,19.8
2019-05-01,57.8,27.0
2019-05-02,52.6,16.0
2019-05-03,55.8,29.4
2019-05-04,85.6,56.6
2019-05-05,60.0,38.6
2019-05-06,29.6,10.0
2019-05-07,42.8,16.8
2019-05-08,50.0,23.4
2019-05-09,44.8,23.0
2019-05-10,52.8,30.8
2019-05-11,62.2,37.0
2019-05-12,52.2,35.8
2019-05-13,55.4,37.0
2019-05-14,41.6,31.8
2019-05-15,67.4,47.0
2019-05-16,61.8,42.2
2019-05-17,49.4,36.4
2019-05-18,24.4,16.0
2019-05-19,13.2,10.6
2019-05-20,33.0,11.8
2019-05-21,48.8,19.2
2019-05-22,51.2,27.0
2019-05-23,65.0,40.4
2019-05-24,80.0,52.8
2019-05-25,77.2,53.8
2019-05-26,36.2,24.2
2019-05-27,21.0,14.0
2019-05-28,19.8,7.8
2019-05-29,44.6,21.8
2019-05-30,42.8,23.8
2019-05-31,18.6,10.8
2019-06-01,32.0,24.6
2019-06-02,36.0,24.6
2019-06-03,38.2,23.6
2019-06-04,27.8,20.0
2019-06-05,52.4,39.2
2019-06-06,57.6,42.4
2019-06-07,10.6,8.4
2019-06-08,23.0,16.0
2019-06-09,37.0,30.6
2019-06-10,8.0,5.4
2019-06-11,9.8,6.2
2019-06-12,27.0,16.6
2019-06-13,27.8,20.0
2019-06-14,31.8,22.6
2019-06-15,31.0,19.4
2019-06-16,15.0,11.0
2019-06-17,21.8,15.4
2019-06-18,27.4,21.4
2019-06-19,28.8,24.6
2019-06-20,25.8,20.8
2019-06-21,24.8,18.6
